Paises bajos,5,1,7
Senegal,5,4,6
Ecuador,4,3,4
Catar,1,7,0
Inglaterra,9,2,7
Estados Unidos,2,1,5
Iran,4,7,3
Gales,1,6,1
Polonia,2,0,4
Argentina,3,2,3
Arabia Saudita,2,3,3
Mexico,0,2,1
Francia,6,2,6
Australia,2,4,3
Dinamarca,1,2,1
Tunez,0,1,1
España,8,1,4
Japon,2,2,3
Costa Rica,1,7,3
Alemania,2,3,1
Croacia,4,1,4
Marruecos,2,0,4
Belgica,1,2,3
Canada,1,5,0
Brasil,3,0,6
Suiza,1,1,3
Camerun,3,4,1
Serbia,3,5,1
Portugal,5,2,6
Ghana,5,5,3
Corea del Sur,2,3,1
Uruguay,0,2,1
